PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31558588","Scaling of swimming performance in baleen whales","Gough WT, Segre PS, Bierlich KC, Cade DE, Potvin J, Fish FE, Dale J, di Clemente J, Friedlaender AS, Johnston DW, Kahane-Rapport SR, Kennedy J, Long JH, Oudejans M, Penry G, Savoca MS, Simon M, Videsen SKA, Visser F, Wiley DN, Goldbogen JA.","J Exp Biol. 2019 Oct 23;222(Pt 20):jeb204172. doi: 10.1242/jeb.204172.","Gough WT","J Exp Biol","2019","2019/09/28","","","10.1242/jeb.204172"
"27488881","Isolation of Treponema DNA from Necrophagous Flies in a Natural Ecosystem","Knauf S, Raphael J, Mitjà O, Lejora IAV, Chuma IS, Batamuzi EK, Keyyu JD, Fyumagwa R, Lüert S, Godornes C, Liu H, Schwarz C, Šmajs D, Grange P, Zinner D, Roos C, Lukehart SA.","EBioMedicine. 2016 Sep;11:85-90. doi: 10.1016/j.ebiom.2016.07.033. Epub 2016 Jul 28.","Knauf S","EBioMedicine","2016","2016/08/05","PMC5049926","","10.1016/j.ebiom.2016.07.033"
"29085743","Learning performance and brain structure of artificially-reared honey bees fed with different quantities of food","Steijven K, Spaethe J, Steffan-Dewenter I, Härtel S.","PeerJ. 2017 Oct 23;5:e3858. doi: 10.7717/peerj.3858. eCollection 2017.","Steijven K","PeerJ","2017","2017/11/01","PMC5657415","","10.7717/peerj.3858"
"31318223","Integrative personality assessment in wild Assamese macaques (Macaca assamensis)","Ebenau A, von Borell C, Penke L, Ostner J, Schülke O.","J Comp Psychol. 2020 Feb;134(1):27-41. doi: 10.1037/com0000190. Epub 2019 Jul 18.","Ebenau A","J Comp Psychol","2020","2019/07/19","","","10.1037/com0000190"
"30703744","Sustained release of bioactive hydrogen by Pd hydride nanoparticles overcomes Alzheimer's disease","Zhang L, Zhao P, Yue C, Jin Z, Liu Q, Du X, He Q.","Biomaterials. 2019 Mar;197:393-404. doi: 10.1016/j.biomaterials.2019.01.037. Epub 2019 Jan 24.","Zhang L","Biomaterials","2019","2019/02/01","","","10.1016/j.biomaterials.2019.01.037"
"31985866","Melatonin mitigates hippocampal and cognitive impairments caused by prenatal irradiation","Pipová Kokošová N, Kisková T, Vilhanová K, Štafuriková A, Jendželovský R, Račeková E, Šmajda B.","Eur J Neurosci. 2020 Sep;52(6):3575-3594. doi: 10.1111/ejn.14687. Epub 2020 Feb 12.","Pipová Kokošová N","Eur J Neurosci","2020","2020/01/28","","","10.1111/ejn.14687"
"28118481","Connectivity and ultrastructure of dopaminergic innervation of the inner ear and auditory efferent system of a vocal fish","Perelmuter JT, Forlano PM.","J Comp Neurol. 2017 Jun 15;525(9):2090-2108. doi: 10.1002/cne.24177. Epub 2017 Mar 26.","Perelmuter JT","J Comp Neurol","2017","2017/01/25","","","10.1002/cne.24177"
"31328951","Personality method validation in common marmosets (Callithrix jacchus): Getting the best of both worlds","Šlipogor V, Burkart JM, Martin JS, Bugnyar T, Koski SE.","J Comp Psychol. 2020 Feb;134(1):52-70. doi: 10.1037/com0000188. Epub 2019 Jul 22.","Šlipogor V","J Comp Psychol","2020","2019/07/23","","","10.1037/com0000188"
"31467686","In the beginning: A review of Robert C. Berwick and Noam Chomsky's Why Only Us","Studdert-Kennedy M, Terrace H.","J Lang Evol. 2017 Jul;2(2):114-125. doi: 10.1093/jole/lzx005. Epub 2017 Apr 7.","Studdert-Kennedy M","J Lang Evol","2017","2019/08/31","PMC6715309","NIHMS1000540","10.1093/jole/lzx005"
"28625020","Methylation of the ribosomal RNA gene promoter is associated with aging and age-related decline","D'Aquila P, Montesanto A, Mandalà M, Garasto S, Mari V, Corsonello A, Bellizzi D, Passarino G.","Aging Cell. 2017 Oct;16(5):966-975. doi: 10.1111/acel.12603. Epub 2017 Jun 17.","D'Aquila P","Aging Cell","2017","2017/06/19","PMC5595699","","10.1111/acel.12603"
"32537186","Cooperation with closely bonded individuals reduces cortisol levels in long-tailed macaques","Stocker M, Loretto MC, Sterck EHM, Bugnyar T, Massen JJM.","R Soc Open Sci. 2020 May 13;7(5):191056. doi: 10.1098/rsos.191056. eCollection 2020 May.","Stocker M","R Soc Open Sci","2020","2020/06/16","PMC7277283","","10.1098/rsos.191056"
"32210525","Affiliation history and age similarity predict alliance formation in adult male bottlenose dolphins","Gerber L, Connor RC, King SL, Allen SJ, Wittwer S, Bizzozzero MR, Friedman WR, Kalberer S, Sherwin WB, Wild S, Willems EP, Krützen M.","Behav Ecol. 2020 Mar-Apr;31(2):361-370. doi: 10.1093/beheco/arz195. Epub 2019 Nov 28.","Gerber L","Behav Ecol","2020","2020/03/27","PMC7083095","","10.1093/beheco/arz195"
"33158294","Great Himalayan Leaf-Nosed Bats Produce Different Territorial Calls to Respond to Sympatric Species and Non-Living Objects","Qin H, Feng L, Zhao X, Sun C, Feng J, Jiang T.","Animals (Basel). 2020 Nov 4;10(11):2040. doi: 10.3390/ani10112040.","Qin H","Animals (Basel)","2020","2020/11/07","PMC7694401","","10.3390/ani10112040"
"31636547","Equine Stereotaxtic Population Average Brain Atlas With Neuroanatomic Correlation","Johnson PJ, Janvier V, Luh WM, FitzMaurice M, Southard T, Barry EF.","Front Neuroanat. 2019 Oct 3;13:89. doi: 10.3389/fnana.2019.00089. eCollection 2019.","Johnson PJ","Front Neuroanat","2019","2019/10/23","PMC6787676","","10.3389/fnana.2019.00089"
"26475872","Differential serotonergic innervation of the amygdala in bonobos and chimpanzees","Stimpson CD, Barger N, Taglialatela JP, Gendron-Fitzpatrick A, Hof PR, Hopkins WD, Sherwood CC.","Soc Cogn Affect Neurosci. 2016 Mar;11(3):413-22. doi: 10.1093/scan/nsv128. Epub 2015 Oct 16.","Stimpson CD","Soc Cogn Affect Neurosci","2016","2015/10/18","PMC4769630","","10.1093/scan/nsv128"
"31576237","From habitat use to social behavior: natural history of a voiceless poison frog, Dendrobates tinctorius","Rojas B, Pašukonis A.","PeerJ. 2019 Sep 17;7:e7648. doi: 10.7717/peerj.7648. eCollection 2019.","Rojas B","PeerJ","2019","2019/10/03","PMC6753930","","10.7717/peerj.7648"
"33013168","On the Plakobranchidae (Gastropoda, Sacoglossa) from soft sediment habitats of Koh Tao, Gulf of Thailand, with descriptions of two new species","Mehrotra R, Gutiérrez MC, Scott CM, Arnold S, Monchanin C, Chavanich S.","Zookeys. 2020 Sep 17;969:85-121. doi: 10.3897/zookeys.969.52941. eCollection 2020.","Mehrotra R","Zookeys","2020","2020/10/05","PMC7515966","","10.3897/zookeys.969.52941"
"32589911","Integrating Genetic, Environmental, and Social Networks to Reveal Transmission Pathways of a Dolphin Foraging Innovation","Wild S, Hoppitt WJE, Allen SJ, Krützen M.","Curr Biol. 2020 Aug 3;30(15):3024-3030.e4. doi: 10.1016/j.cub.2020.05.069. Epub 2020 Jun 25.","Wild S","Curr Biol","2020","2020/06/27","","","10.1016/j.cub.2020.05.069"
"28094300","Sequestration of PRMT1 and Nd1-L mRNA into ALS-linked FUS mutant R521C-positive aggregates contributes to neurite degeneration upon oxidative stress","Jun MH, Ryu HH, Jun YW, Liu T, Li Y, Lim CS, Lee YS, Kaang BK, Jang DJ, Lee JA.","Sci Rep. 2017 Jan 17;7:40474. doi: 10.1038/srep40474.","Jun MH","Sci Rep","2017","2017/01/18","PMC5240339","","10.1038/srep40474"
"33300609","Field evidence for colour mimicry overshadowing morphological mimicry","Corral-Lopez A, Varg JE, Cano-Cobos YP, Losada R, Realpe E, Outomuro D.","J Anim Ecol. 2020 Dec 10. doi: 10.1111/1365-2656.13404. Online ahead of print.","Corral-Lopez A","J Anim Ecol","2020","2020/12/10","","","10.1111/1365-2656.13404"
"32439371","Context and trade-offs characterize real-world threat detection systems: A review and comprehensive framework to improve research practice and resolve the translational crisis","Fendt M, Parsons MH, Apfelbach R, Carthey AJR, Dickman CR, Endres T, Frank ASK, Heinz DE, Jones ME, Kiyokawa Y, Kreutzmann JC, Roelofs K, Schneider M, Sulger J, Wotjak CT, Blumstein DT.","Neurosci Biobehav Rev. 2020 Aug;115:25-33. doi: 10.1016/j.neubiorev.2020.05.002. Epub 2020 May 19.","Fendt M","Neurosci Biobehav Rev","2020","2020/05/23","","","10.1016/j.neubiorev.2020.05.002"
"30225086","Habitual stone-tool-aided extractive foraging in white-faced capuchins, Cebus capucinus","Barrett BJ, Monteza-Moreno CM, Dogandžić T, Zwyns N, Ibáñez A, Crofoot MC.","R Soc Open Sci. 2018 Aug 22;5(8):181002. doi: 10.1098/rsos.181002. eCollection 2018 Aug.","Barrett BJ","R Soc Open Sci","2018","2018/09/19","PMC6124021","","10.1098/rsos.181002"
"32365222","Body mass variation is negatively associated with brain size: Evidence for the fat-brain trade-off in anurans","Huang Y, Mai CL, Liao WB, Kotrschal A.","Evolution. 2020 Jul;74(7):1551-1557. doi: 10.1111/evo.13991. Epub 2020 May 27.","Huang Y","Evolution","2020","2020/05/05","","","10.1111/evo.13991"
"27152206","Adaptive collective foraging in groups with conflicting nutritional needs","Senior AM, Lihoreau M, Charleston MA, Buhl J, Raubenheimer D, Simpson SJ.","R Soc Open Sci. 2016 Apr 13;3(4):150638. doi: 10.1098/rsos.150638. eCollection 2016 Apr.","Senior AM","R Soc Open Sci","2016","2016/05/07","PMC4852629","","10.1098/rsos.150638"
"32321753","Learning of bimodal versus unimodal signals in restrained bumble bees","Riveros AJ, Leonard AS, Gronenberg W, Papaj DR.","J Exp Biol. 2020 May 18;223(Pt 10):jeb220103. doi: 10.1242/jeb.220103.","Riveros AJ","J Exp Biol","2020","2020/04/24","","","10.1242/jeb.220103"
"33114054","Impact of Hyperhomocysteinemia and Different Dietary Interventions on Cognitive Performance in a Knock-in Mouse Model for Alzheimer's Disease","Nieraad H, de Bruin N, Arne O, Hofmann MCJ, Schmidt M, Saito T, Saido TC, Gurke R, Schmidt D, Till U, Parnham MJ, Geisslinger G.","Nutrients. 2020 Oct 23;12(11):3248. doi: 10.3390/nu12113248.","Nieraad H","Nutrients","2020","2020/10/29","PMC7690745","","10.3390/nu12113248"
"32075297","Floral Species Richness Correlates with Changes in the Nutritional Quality of Larval Diets in a Stingless Bee","Trinkl M, Kaluza BF, Wallace H, Heard TA, Keller A, Leonhardt SD.","Insects. 2020 Feb 15;11(2):125. doi: 10.3390/insects11020125.","Trinkl M","Insects","2020","2020/02/21","PMC7073955","","10.3390/insects11020125"
